citation_id,doc_location,code_reference,last_verified_utc,status
CIT-032,docs/plant_model.md:50,src/controllers/classic_smc.py:329,2025-09-14T05:05:05.879805,ok
CIT-033,docs/plant_model.md:63,config.yaml:191,2025-09-14T05:05:05.879805,ok
CIT-034,docs/plant_model.md:64,config.yaml:192,2025-09-14T05:05:05.879805,ok
CIT-035,docs/plant_model.md:65,config.yaml:193,2025-09-14T05:05:05.879805,ok
CIT-036,docs/plant_model.md:66,config.yaml:194,2025-09-14T05:05:05.879805,ok
CIT-037,docs/plant_model.md:67,config.yaml:195,2025-09-14T05:05:05.879805,ok
CIT-038,docs/plant_model.md:69,config.yaml:196,2025-09-14T05:05:05.879805,ok
CIT-039,docs/plant_model.md:71,config.yaml:198,2025-09-14T05:05:05.879805,ok
CIT-040,docs/plant_model.md:72,config.yaml:200,2025-09-14T05:05:05.879805,ok
CIT-041,docs/plant_model.md:73,config.yaml:201,2025-09-14T05:05:05.879805,ok
CIT-042,docs/analysis_plan.md:18,config.yaml:270,2025-09-14T05:05:05.879805,ok
CIT-043,docs/analysis_plan.md:81,config.yaml:222,2025-09-14T05:05:05.879805,ok
CIT-044,docs/analysis_plan.md:10,src/optimizer/pso_optimizer.py:377,2025-09-14T06:50:00,ok
CIT-045,docs/analysis_plan.md:12,src/optimizer/pso_optimizer.py:377,2025-09-14T06:50:00,ok
CIT-046,docs/analysis_plan.md:31,src/optimizer/pso_optimizer.py:418,2025-09-14T06:50:00,ok
CIT-047,docs/analysis_plan.md:35,config.yaml:121,2025-09-14T06:50:00,ok
CIT-048,docs/analysis_plan.md:37,src/controllers/classic_smc.py:185,2025-09-14T06:50:00,ok
CIT-049,docs/analysis_plan.md:39,src/controllers/sta_smc.py:259,2025-09-14T06:50:00,ok
CIT-050,docs/analysis_plan.md:41,src/controllers/adaptive_smc.py:231,2025-09-14T06:50:00,ok
CIT-051,docs/analysis_plan.md:43,src/controllers/hybrid_adaptive_sta_smc.py:286,2025-09-14T06:50:00,ok
CIT-052,docs/analysis_plan.md:45,config.yaml:145,2025-09-14T06:50:00,ok
CIT-053,docs/analysis_plan.md:63,config.yaml:205,2025-09-14T06:50:00,ok
CIT-054,docs/context.md:6,config.yaml:222,2025-09-14T06:50:00,ok
CIT-055,docs/context.md:8,config.yaml:297,2025-09-14T06:50:00,ok
CIT-056,docs/context.md:9,config.yaml:295,2025-09-14T06:50:00,ok
CIT-057,docs/context.md:13,config.yaml:191,2025-09-14T06:50:00,ok
CIT-058,docs/test_protocols.md:27,src/fault_detection/fdi.py:81,2025-09-14T06:50:00,ok
CIT-059,docs/architecture.md:37,src/hil/plant_server.py:71,2025-09-14T06:50:00,ok
CIT-060,docs/architecture.md:13,config.yaml:41,2025-09-14T06:50:00,ok
